X.Item;Label;Bx;By;Width;Height;Area;Mean;Major;Minor;Feret;Area_exc;ThickR;Pred;pred_valid_Id_20170806_1703;Valid;esd;Major.micron;Minor.micron;Major.mm;Minor.mm;Area_ellipse_mm2;biovol.mm;g_carbon
1;abr1_noronha_st01_300_d1_d1_1;12874;415;222;434;28006;209.6799927;436.2000122;81.69999695;469.5;26221;2.707999945;08_Cnid_sipho;08_cnid_sipho;08_cnid_sipho;2002.1498509047;4623.72012932;866.01996767;4.62372012932;0.86601996767;3.1449179955699;1.81478736739711;0.0000714712353673151
2;abr1_noronha_st01_300_d1_d1_1;8809;597;104;752;26775;175.7100067;610.5999756;55.79999924;753.5999756;26738;2.759000063;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1957.65328120859;6472.35974136;591.479991944;6.47235974136;0.591479991944;3.00671723832971;1.18500767217359;0.0000677495430782898
4;abr1_noronha_st01_300_d1_d1_1;6050;643;966;392;228786;94.37000275;989;294.5;1004;228343;2.845000029;10_Mol_outros;10_mol_outros;10_mol_outros;5722.49944945778;10483.4;3121.7;10.4834;3.1217;25.7029636845022;53.4641766826116;0.000870675256462058
6;abr1_noronha_st01_300_d1_d1_1;13968;959;644;90;22080;181.4700012;645.5;43.59999847;645.9000244;22061;2.398000002;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1777.74952560707;6842.3;462.159983782;6.8423;0.462159983782;2.48361533389959;0.764830481832181;0.0000539667850980755
8;abr1_noronha_st01_300_d1_d1_1;13352;1121;431;436;25358;171.5700073;593.2999878;54.40000153;569.0999756;25327;2.64199996;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1905.14719494188;6288.97987068;576.640016218;6.28897987068;0.576640016218;2.84822873246362;1.09438002288331;0.0000635214317872996
9;abr1_noronha_st01_300_d1_d1_1;11543;1150;356;185;6559;197.75;135;61.79999924;370.2999878;6523;10.62699986;03_Copepod;03_copepod;03_copepod;968.924309980577;1431;655.079991944;1.431;0.655079991944;0.736247528870814;0.321371012810625;0.0000126979780808384
10;abr1_noronha_st01_300_d1_d1_1;2839;1322;621;848;119934;115.1999969;660.7999878;231.1000061;946.7999878;119876;3.325999975;13_Fish_larvae;13_fish_larvae;13_fish_larvae;4143.26008444902;7004.47987068;2449.66006466;7.00447987068;2.44966006466;13.4763286954684;21.9971255542221;0.000403800069731722
11;abr1_noronha_st01_300_d1_d1_1;374;1443;856;1999;212949;189.3200073;1162.099976;233.3000031;2114.600098;212341;1.998000026;02_Chaetognatha;02_chaetognatha;02_chaetognatha;5520.88676067566;12318.2597456;2472.98003286;12.3182597456;2.47298003286;23.9254353325856;39.4247524298029;0.000799501736431514
12;abr1_noronha_st01_300_d1_d1_1;10433;1639;142;409;27089;148.6399994;332.1000061;103.9000015;409.2999878;26957;3.951999903;14_Mysidacea;03_copepod;03_copepod;1969.0988724355;3520.26006466;1101.3400159;3.52026006466;1.1013400159;3.04499125213018;2.23458039773591;0.0000687770572894576
16;abr1_noronha_st01_300_d1_d1_1;12548;1884;282;338;22164;147.4499969;264.2999878;106.8000031;376.8999939;22098;2.114000082;03_Copepod;03_copepod;03_copepod;1781.12790429687;2801.57987068;1132.08003286;2.80157987068;1.13208003286;2.49097873622754;1.87903845079061;0.0000541572390167006
17;abr1_noronha_st01_300_d1_d1_1;10653;2017;169;355;10401;191.3899994;372.7999878;35.5;386.8999939;10401;2.125999928;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1220.13696631178;3951.67987068;376.3;3.95167987068;0.3763;1.16790052703412;0.292838780134271;0.0000219881736521122
18;abr1_noronha_st01_300_d1_d1_1;7496;2018;70;508;20727;171.7200012;521.2000122;50.59999847;510;20714;2.197999954;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1722.42079680718;5524.72012932;536.359983782;5.52472012932;0.536359983782;2.32732231041294;0.831766487073686;0.0000499499968807819
19;abr1_noronha_st01_300_d1_d1_1;5997;2151;446;500;32049;172.3600006;617.7999878;66;625;31999;2.713999987;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2141.79686453155;6548.67987068;699.6;6.54867987068;0.6996;3.59826747171969;1.6773811567334;0.0000838933213184776
23;abr1_noronha_st01_300_d1_d1_1;13372;2348;930;207;89478;116.4100037;796.5999756;143;934;89355;2.980000019;13_Fish_larvae;13_fish_larvae;13_fish_larvae;3578.73195348638;8443.95974136;1515.8;8.44395974136;1.5158;10.0525892624673;10.1533266213531;0.000284896384466049
24;abr1_noronha_st01_300_d1_d1_1;11666;2687;908;574;123578;122.8399963;984;159.8999939;1058.199951;123063;2.63499999;13_Fish_larvae;13_fish_larvae;13_fish_larvae;4205.73222416754;10430.4;1694.93993534;10.4304;1.69493993534;13.8849767702177;15.6815138612292;0.000418412768127441
26;abr1_noronha_st01_300_d1_d1_1;8852;2845;164;567;16347;195.3800049;565.5999756;36.79999924;584.5;16346;2.295000076;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1529.64294572337;5995.35974136;390.079991944;5.99535974136;0.390079991944;1.83678702823948;0.477420424881147;0.0000376882669804081
27;abr1_noronha_st01_300_d1_d1_1;7584;2883;126;610;18524;190.6499939;517.5;45.59999847;618.0999756;18524;2.013999939;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1628.31499793009;5485.5;483.359983782;5.4855;0.483359983782;2.08246060374105;0.670711887626452;0.0000437605303162741
28;abr1_noronha_st01_300_d1_d1_1;5059;2886;144;880;44097;170.8200073;801.5;70.09999847;884.2999878;44000;1.61500001;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2512.32349128068;8495.9;743.059983782;8.4959;0.743059983782;4.95818979414954;2.45490978613276;0.00012286006377371
29;abr1_noronha_st01_300_d1_d1_1;2743;2915;725;795;142603;133.5599976;933.9000244;194.3999939;1025.900024;142167;1.998999953;13_Fish_larvae;13_fish_larvae;13_fish_larvae;4517.88703783353;9899.34025864;2060.63993534;9.89934025864;2.06063993534;16.021318183858;21.9982875268035;0.000496097574458977
30;abr1_noronha_st01_300_d1_d1_1;5972;2939;606;335;35889;194.1000061;665.0999756;68.69999695;658.7000122;35773;2.576999903;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2266.47908428259;7050.05974136;728.21996767;7.05005974136;0.72821996767;4.03222967598971;1.95657437326179;0.0000960671822703098
40;abr1_noronha_st01_300_d1_d1_1;7285;3811;688;245;23613;196.0399933;719.4000244;41.79999924;715.9000244;23599;2.441999912;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1838.42797703679;7625.64025864;443.079991944;7.62564025864;0.443079991944;2.65367867212202;0.783463898845886;0.0000583923170668516
41;abr1_noronha_st01_300_d1_d1_1;6586;3862;233;600;29708;172.5899963;664.7000122;56.90000153;631.2000122;29666;2.039000034;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2062.0906094371;7045.82012932;603.140016218;7.04582012932;0.603140016218;3.33764065421885;1.34136273355651;0.0000767130566552271
42;abr1_noronha_st01_300_d1_d1_1;9149;3900;542;140;44248;138.3099976;491.2999878;114.6999969;543;44179;1.881000042;13_Fish_larvae;13_fish_larvae;13_fish_larvae;2516.62125125991;5207.77987068;1215.81996714;5.20777987068;1.21581996714;4.97292341996771;4.02874295578259;0.000123294640708579
45;abr1_noronha_st01_300_d1_d1_1;957;4233;491;281;42160;168.1900024;381.2000122;140.8000031;496.2000122;42088;3.773999929;15_Multiples;12_euphausiacea;12_euphausiacea;2456.52584673331;4040.72012932;1492.48003286;4.04072012932;1.49248003286;4.73649607909404;4.7103613854937;0.00011635103157813
47;abr1_noronha_st01_300_d1_d1_1;2903;4339;2648;3526;3634853;212.7799988;4157.100098;1113.300049;3937.100098;3278745;7.145999908;09_Cord_Salpidae;09_thaliacea;09_thaliacea;22809.4315915295;44065.2610388;11800.9805194;44.0652610388;11.8009805194;408.417480631517;3211.52222444284;0.0233986248578499
52;abr1_noronha_st01_300_d1_d1_1;9040;5016;117;648;21363;183.9400024;542.7999878;50.09999847;652.7000122;21353;2.414000034;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1748.64704023928;5753.67987068;531.059983782;5.75367987068;0.531059983782;2.39982268179214;0.84920246849318;0.0000518071121457183
55;abr1_noronha_st01_300_d1_d1_1;7326;5229;570;564;47455;203.0899963;661.9000244;91.30000305;775.9000244;47440;1.914999962;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2606.22571625645;7016.14025864;967.78003233;7.01614025864;0.96778003233;5.33291671187513;3.43898256999757;0.000133987506386488
64;abr1_noronha_st01_300_d1_d1_1;9714;5828;189;1081;104477;196.2599945;989.4000244;134.5;1082.099976;104473;1.628999949;02_Chaetognatha;02_chaetognatha;02_chaetognatha;3867.06421340185;10487.64025864;1425.7;10.48764025864;1.4257;11.7434529728286;11.1561020652977;0.000342793997688045
67;abr1_noronha_st01_300_d1_d1_1;6440;6158;495;1109;179251;121.1600037;1104.900024;206.6000061;1187.699951;179158;1.91900003;13_Fish_larvae;13_fish_larvae;13_fish_larvae;5065.26102470619;11711.9402544;2189.96006466;11.7119402544;2.18996006466;20.1444272940446;29.3954177502601;0.000651509198876322
70;abr1_noronha_st01_300_d1_d1_1;11333;6322;530;282;25582;178.5800018;608.4000244;53.5;579.4000244;25554;2.105999947;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1913.54325693943;6449.04025864;567.1;6.44904025864;0.5671;2.87239800695592;1.08540740543469;0.0000641633876287487
74;abr1_noronha_st01_300_d1_d1_1;13062;6495;997;559;175636;115.1900024;1011.200012;221.1999969;1057.699951;175507;2.757999897;13_Fish_larvae;13_fish_larvae;13_fish_larvae;5013.92468166164;10718.7201272;2344.71996714;10.7187201272;2.34471996714;19.7389385275956;30.8392134337256;0.000635933212033937
75;abr1_noronha_st01_300_d1_d1_1;8258;6696;401;829;109685;200.1199951;782.4000244;178.5;886.0999756;102633;3.839999914;08_Cnid_sipho;08_cnid_sipho;08_cnid_sipho;3962.27538695107;8293.44025864;1892.1;8.29344025864;1.8921;12.3244823633221;15.5382208418834;0.000363070471932589
77;abr1_noronha_st01_300_d1_d1_1;610;7083;690;260;52542;164.8399963;609.9000244;109.6999969;724.5;52433;2.805000067;12_Euphausiacea;12_euphausiacea;12_euphausiacea;2742.35918705556;6464.94025864;1162.81996714;6.46494025864;1.16281996714;5.90427908887915;4.57475536173669;0.00015123934093215
82;abr1_noronha_st01_300_d1_d1_1;11900;7321;572;840;77766;193.0500031;426.6000061;232.1000061;841;77490;6.912000179;02_Chaetognatha;02_chaetognatha;02_chaetognatha;3336.30631412286;4521.96006466;2460.26006466;4.52196006466;2.46026006466;8.73770988897805;14.3240937426399;0.000241123400910328
85;abr1_noronha_st01_300_d1_d1_1;14204;7637;123;70;3770;170.9199982;98;49;124.5;3747;3.213999987;03_Copepod;03_copepod;03_copepod;734.584418236545;1038.8;519.4;1.0388;0.5194;0.423763715344098;0.146660860648587;0.00000658041789702791
88;abr1_noronha_st01_300_d1_d1_1;5367;7780;125;561;16748;197.9600067;347.3999939;61.40000153;561;16748;2.319000006;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1548.29072797842;3682.43993534;650.840016218;3.68243993534;0.650840016218;1.88234749474186;0.81632399795313;0.0000388033261223506
90;abr1_noronha_st01_300_d1_d1_1;9036;7896;230;268;23171;153.3800049;241.1999969;122.3000031;280.5;23055;2.957000017;03_Copepod;03_copepod;03_copepod;1821.14038605828;2556.71996714;1296.38003286;2.55671996714;1.29638003286;2.60318706618886;2.24867259688139;0.000057072591233032
